Project_ID,Artist_ID,Project_Name,Start_Date,End_Date,Status,Budget,Description
P001,A001,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P002,A002,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P003,A003,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P004,A004,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P005,A005,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P006,A006,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P007,A007,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P008,A008,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P009,A009,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P010,A010,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P011,A011,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P012,A012,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P013,A013,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P014,A014,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P015,A015,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P016,A016,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P017,A017,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P018,A018,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P019,A019,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P020,A020,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P021,A021,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P022,A022,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P023,A023,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P024,A024,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P025,A025,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P026,A026,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P027,A027,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P028,A028,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P029,A029,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P030,A030,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P031,A031,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P032,A032,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P033,A033,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P034,A034,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P035,A035,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P036,A036,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P037,A037,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P038,A038,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P039,A039,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P040,A040,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P041,A041,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P042,A042,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P043,A043,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P044,A044,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P045,A045,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
P046,A046,Midnights Tour Expansion,2023-03-01,2023-11-30,Completed,85000000,Additional Europe dates
P047,A047,OVO Fest 2024,2024-01-10,2024-08-10,Planned,15000000,Annual Toronto festival
P048,A048,New Album 'Nadie Sabe',2023-07-01,2024-02-15,In Progress,6000000,Studio sessions ongoing
P049,A049,Dawn FM Deluxe,2023-05-15,2023-12-01,Completed,4000000,Additional tracks release
P050,A050,Billie World Tour,2024-02-01,2025-01-01,Planned,70000000,Global tour
